State Name,Dist Name,Season,Crops,observed_years,first_year,last_year,active_years,mean_area_1000ha,total_area_1000ha,mean_production_1000t,total_production_1000t,mean_yield_kg_ha,mean_t2m_max,area_share,consistency_score,evidence_score
west bengal,burdwan,rabi,wheat,34,1984,2017,34,3.9785294117647063,135.27,8.701470588235296,295.85,2237.598529411765,29.259676162058824,0.10007281750917618,1.0,0.7300218452527528
west bengal,cooch behar,annual,sugarcane,22,1984,2017,22,0.15954545454545455,3.5100000000000002,1.6372727272727274,36.02,4906.342727272727,40.21545454545455,1.0,0.6470588235294118,0.7529411764705882
west bengal,cooch behar,kharif,cotton,1,2008,2008,1,1.26,1.26,0.49,0.49,388.89,30.65738562,0.0039449399013961346,0.029411764705882353,0.021771717264536486
west bengal,cooch behar,kharif,finger millet,26,1988,2016,26,0.033846153846153845,0.88,0.01,0.26,252.6553846153846,31.296063348076924,0.00010596908160038456,0.7647058823529411,0.5353259083715388
west bengal,cooch behar,kharif,groundnut,20,1991,2017,20,0.46449999999999997,9.29,0.47050000000000003,9.41,1089.6325000000002,30.921447712000003,0.0014543052255543685,0.5882352941176471,0.41220099745001926
west bengal,cooch behar,kharif,maize,31,1984,2017,31,5.724516129032258,177.46,33.66612903225807,1043.65,3517.094193548387,31.082361374193546,0.017922914360004046,0.9117647058823529,0.6436121684256483
west bengal,cooch behar,kharif,minor pulses,34,1984,2017,34,8.51029411764706,289.35,6.085588235294118,206.91,721.8741176470588,31.20842176029412,0.026644919712160868,1.0,0.7079934759136483
west bengal,cooch behar,kharif,oilseeds,29,1984,2014,29,15.20896551724138,441.06,7.241034482758621,209.99,471.16517241379313,31.295312147241383,0.04761782137136779,0.8529411764705882,0.6113441699408221
west bengal,cooch behar,kharif,pearl millet,4,2013,2016,4,0.1125,0.45,0.03,0.12,262.4625,30.7441993475,0.0003522267769103691,0.11764705882352941,0.0824586092095437
west bengal,cooch behar,kharif,pigeonpea,11,1988,2008,11,0.034545454545454546,0.38,0.02727272727272727,0.3,800.0,31.354093879090907,0.00010815852543510325,0.3235294117647059,0.22650303579292466
west bengal,cooch behar,kharif,rice,34,1984,2017,34,287.335,9769.39,487.0364705882353,16559.24,1715.260294117647,31.20842176029412,0.8996184972759192,1.0,0.9698855491827757
west bengal,cooch behar,kharif,sesamum,30,1988,2017,30,0.7123333333333334,21.37,0.4486666666666667,13.46,623.3963333333334,31.222241829666665,0.0022302477696517302,0.8823529411764706,0.6183161331544248
west bengal,cooch behar,rabi,barley,8,1984,2011,8,0.04625,0.37,0.04625,0.37,1147.435,27.30327382125,0.001597921987679948,0.23529411764705882,0.16518525894924516
west bengal,cooch behar,rabi,chickpea,3,1985,1998,3,0.016666666666666666,0.05,0.013333333333333334,0.04,888.89,26.601986756666665,0.0005758277433080893,0.08823529411764706,0.06193745420534537
west bengal,cooch behar,rabi,linseed,28,1990,2017,28,1.2335714285714285,34.54,0.34285714285714286,9.6,280.81928571428574,26.960689949285715,0.042619479115417296,0.8235294117647058,0.5892564319699193
west bengal,cooch behar,rabi,rapeseed and mustard,34,1984,2017,34,10.55970588235294,359.03,5.489411764705882,186.64,507.08147058823533,27.053960357058823,0.364834296493947,1.0,0.809450288948184
west bengal,cooch behar,rabi,sunflower,2,2003,2004,2,0.10500000000000001,0.21000000000000002,0.045,0.09,427.275,25.724884975000002,0.0036277147828409633,0.058823529411764705,0.04226478502308758
west bengal,cooch behar,rabi,wheat,34,1984,2017,34,16.982647058823527,577.41,30.185882352941174,1026.32,1867.5238235294116,27.053960357058823,0.5867447598768067,1.0,0.876023427963042
west bengal,darjeeling,annual,sugarcane,12,1992,2017,12,0.006666666666666667,0.08,0.08,0.96,4706.875,31.977500000000003,1.0,0.35294117647058826,0.5470588235294118
west bengal,darjeeling,kharif,cotton,1,2008,2008,1,0.16,0.16,0.07,0.07,437.5,24.82150327,0.0022481618618361257,0.029411764705882353,0.021262683852668485
west bengal,darjeeling,kharif,finger millet,27,1988,2016,27,10.893333333333333,294.12,12.197037037037036,329.32,1118.2088888888889,25.378949406296297,0.15306235342667623,0.7941176470588235,0.6018010589691792
west bengal,darjeeling,kharif,groundnut,15,2000,2017,15,0.06466666666666668,0.9700000000000001,0.09400000000000001,1.4100000000000001,1525.9840000000002,25.197708060666667,0.0009086320858254344,0.4411764705882353,0.3090961190375123
west bengal,darjeeling,kharif,maize,34,1984,2017,34,18.425,626.45,54.72794117647059,1860.75,2942.087647058823,25.297766243235294,0.25888988940206636,1.0,0.7776669668206199
west bengal,darjeeling,kharif,minor pulses,34,1984,2017,34,1.549705882352941,52.69,1.0855882352941175,36.91,727.7079411764706,25.297766243235294,0.02177493538605615,1.0,0.7065324806158167
west bengal,darjeeling,kharif,oilseeds,29,1984,2014,29,0.8689655172413793,25.2,0.2944827586206897,8.540000000000001,464.59965517241375,25.343202613793103,0.012209844594454821,0.8529411764705882,0.6007217769077482
